hide_S0, invalid_Y0, hide_S1, Y1
s2, 1, s2, 0
s2, 0, s2, 1
s2, 1, s2, 0
s2, 0, s2, 1
s2, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s2, 1
s2, 1, s2, 1
s2, 1, s2, 0
s2, 0, s2, 1
s2, 1, s2, 1
s2, 1, s2, 1
s2, 1, s2, 0
s2, 0, s2, 1
s2, 1, s2, 0
s2, 0, s2, 1

s2, 1, s2, 0
s2, 0, s2, 1
s2, 1, s2, 1
s2, 1, s2, 1
s2, 1, s2, 1
s2, 1, s2, 1
s2, 1, s2, 0
s2, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s2, 1
s2, 1, s2, 0
s2, 0, s2, 0
s2, 0, s2, 0
s2, 0, s2, 0
s2, 0, s2, 1
s2, 1, s2, 0
s2, 0, s2, 0
s2, 0, s2, 1
s2, 1, s2, 1
s2, 1, s2, 1
s2, 1, s2, 0
s2, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 0
s1, 0, s1, 1
s1, 1, s1, 1
s1, 1, s1, 0
