hide_S1, Y1, hide_S2, hide_Y2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s2, 5
s2, 5, s2, 3
s2, 3, s2, 2
s2, 2, s2, 4
s2, 4, s2, 3
s2, 3, s2, 2
s2, 2, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 1
s3, 1, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 4
s1, 4, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s2, 3
s2, 3, s2, 5
s2, 5, s2, 2
s2, 2, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s1, 1
s1, 1, s2, 4
s2, 4, s2, 3
s2, 3, s2, 2
s2, 2, s2, 3
s2, 3, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s1, 1
s1, 1, s2, 2
s2, 2, s2, 3
s2, 3, s2, 3
s2, 3, s2, 2
s2, 2, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 1
s3, 1, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 3
s1, 3, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s2, 3
s2, 3, s2, 2
s2, 2, s2, 4
s2, 4, s2, 3
s2, 3, s2, 2
s2, 2, s2, 3
s2, 3, s3, 3
s3, 3, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 3
s3, 3, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 4
s1, 4, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s2, 3
s2, 3, s2, 2
s2, 2, s2, 3
s2, 3, s2, 2
s2, 2, s2, 4
s2, 4, s2, 2
s2, 2, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 2
s2, 2, s2, 2
s2, 2, s2, 5
s2, 5, s2, 3
s2, 3, s2, 3
s2, 3, s2, 2
s2, 2, s2, 3
s2, 3, s2, 3
s2, 3, s3, 4
s3, 4, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s2, 3
s2, 3, s2, 4
s2, 4, s2, 3
s2, 3, s2, 3
s2, 3, s2, 4
s2, 4, s2, 3
s2, 3, s2, 4
s2, 4, s2, 3
s2, 3, s2, 1
s2, 1, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s1, 1
s1, 1, s2, 3
s2, 3, s2, 2
s2, 2, s2, 3
s2, 3, s2, 2
s2, 2, s2, 4
s2, 4, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 2
s2, 2, s2, 3
s2, 3, s2, 3
s2, 3, s2, 4
s2, 4, s2, 1
s2, 1, s3, 5

s3, 4, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s2, 3
s2, 3, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 3
s3, 3, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s1, 1
s1, 1, s2, 1
s2, 1, s2, 2
s2, 2, s2, 3
s2, 3, s2, 3
s2, 3, s2, 2
s2, 2, s2, 5
s2, 5, s2, 3
s2, 3, s2, 4
s2, 4, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 3
s2, 3, s2, 4
s2, 4, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 5
s3, 5, s3, 4
s3, 4, s3, 4
s3, 4, s3, 4
s3, 4, s1, 1
s1, 1, s1, 2
s1, 2, s1, 2
s1, 2, s1, 1
s1, 1, s1, 1
s1, 1, s1, 2
s1, 2, s1, 1
